,Faqueiro (jogo de talheres), Prata
        ,Jogo de panelas,
        ,Jogo de formas e assadeiras,
        ,Chaleira,
        ,Jogo de copos (dia a dia),
        ,Jogo de taças,
        ,Bule e leiteira,
        ,Garrafa térmica,
        ,Balança para cozinha,
        ,Jogo de facas,
        ,Passadeira a vapor,
        ,Liquidificador,Preto
        ,Batedeira,Preto
        ,Mixer de alimentos,Preto
        ,Panela elétrica (arroz),Preto
        ,Panela elétrica (feijão),Preto
        Ok,Sanduicheira elétrica,Preto
        ,Grill,
        Ok,Air fryer,Preto
        ,Conjunto de medidores,
        ,Conjunto de potes para organização,
        ,Torneira elétrica,
        ,Coifa,
        ,Microondas,Preto
        ,Processador de alimentos,
        ,Batedeira,
        ,Espremedor de frutas,Preto
        ,Aparelho de café e chá,
        ,Cafeteira,
        ,Jarra,
        ,Petisqueira,
        ,Portacondimentos/temperos,
        ,Portaguardanapos,
        ,Saladeira,
        ,Apoio para copos,
        ,Jogo de utensílios e espátulas,
        ,Jogo de lugar americano,
        ,Tábua de passar,
